"channel_type","total_earnings","pct_earning_per_ct","total_subscribers","pct_subscribers_per_ct","total_views","pct_views_per_ct"
"Entertainment","1363476667","36.43","6922500000","31.17","3371893086218","31.41"
"Music","788849853","21.07","5771500000","25.99","3252736453212","30.30"
"People","434975431","11.62","1953300000","8.80","885919109792","8.25"
"Comedy","242826793","6.49","1063700000","4.79","453140574157","4.22"
"Education","235162000","6.28","1300200000","5.85","764805933171","7.12"
"Games","219036711","5.85","2111600000","9.51","726607151373","6.77"
"News","133816886","3.57","611700000","2.75","311352817910","2.90"
"Film","124545903","3.33","964400000","4.34","459242749807","4.28"
"Howto","54334950","1.45","649100000","2.92","195650627890","1.82"
"Sports","54299250","1.45","361500000","1.63","181104971711","1.69"
"Animals","54050000","1.44","58600000","0.26","44135255601","0.41"
"Tech","23804100","0.64","320800000","1.44","59355536528","0.55"
"Autos","9050065","0.24","64400000","0.29","19577546410","0.18"
"Nonprofit","4992750","0.13","55500000","0.25","10862911785","0.10"
